Series Name,Series Code,Time,Time Code,Canada,France,Germany,Italy,Japan,United Kingdom,United States
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2015,YR2015,1.125241361,0.037514381,0.514426137,0.0387904,0.795279631,0.368046842,0.118627136
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2016,YR2016,1.428759547,0.183334861,0.491747008,-0.094016657,-0.127258844,1.008417368,1.261583206
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2017,YR2017,1.596884129,1.032282751,1.509494851,1.226533166,0.484199796,2.557755776,2.130110004
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2018,YR2018,2.268225672,1.850815083,1.732168798,1.137487636,0.989094598,2.292839903,2.442583297
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2019,YR2019,1.949269024,1.108254923,1.445659769,0.611246944,0.468776159,1.738104601,1.812210075
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2020,YR2020,0.716999632,0.476498853,0.144877926,-0.137707574,-0.024995834,0.989486704,1.233584396
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2021,YR2021,3.395193185,1.64233141,3.066666667,1.873783258,-0.233352779,2.518371096,4.697858864
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2022,YR2022,6.802801153,5.222367484,6.872574386,8.201289912,2.497702782,7.922048831,8.002799821
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2023,YR2023,3.879001598,4.878357265,5.946436677,5.622194422,3.268133659,6.793967068,4.116338384
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2024,YR2024,2.381583833,1.999049423,2.256498143,0.982373023,2.738536816,3.271572946,2.949525205
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,

Last Updated: 12/16/2025,,,,,,,,,,
