Series Name,Series Code,Year,Time Code,United Kingdom,United States,Japan
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2000,YR2000,1.64,2.056,1.36
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2001,YR2001,1.63,2.0305,1.33
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2002,YR2002,1.63,2.0205,1.32
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2003,YR2003,1.7,2.0475,1.29
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2004,YR2004,1.75,2.0515,1.29
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2005,YR2005,1.76,2.057,1.26
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2006,YR2006,1.82,2.108,1.32
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2007,YR2007,1.86,2.12,1.34
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2009,YR2009,1.89,2.002,1.37
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2010,YR2010,1.92,1.931,1.39
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2011,YR2011,1.91,1.8945,1.39
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2012,YR2012,1.92,1.8805,1.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2013,YR2013,1.83,1.8575,1.43
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2014,YR2014,1.81,1.8625,1.42
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2015,YR2015,1.8,1.8435,1.45
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2016,YR2016,1.79,1.8205,1.44
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2017,YR2017,1.74,1.7655,1.43
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2018,YR2018,1.68,1.7295,1.42
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2019,YR2019,1.632,1.706,1.36
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2020,YR2020,1.571,1.6415,1.33
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2021,YR2021,1.583,1.664,1.3
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2022,YR2022,1.56,1.6565,1.26
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2023,YR2023,1.56,1.6165,1.2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,2024,YR2024,..,..,..
