Area name,Area code,Area type,Percentage,,
Aberdeen City,S12000033,Council area,9.8,,
Aberdeenshire,S12000034,Council area,8.7,,
Angus,S12000041,Council area,11.4,,
Argyll and Bute,S12000035,Council area,13.4,,
City of Edinburgh,S12000036,Council area,9.0,,
Clackmannanshire,S12000005,Council area,10.3,,
Dumfries and Galloway,S12000006,Council area,12.2,,
Dundee City,S12000042,Council area,10.8,,
East Ayrshire,S12000008,Council area,10.2,,
East Dunbartonshire,S12000045,Council area,9.7,,
East Lothian,S12000010,Council area,9.3,,
East Renfrewshire,S12000011,Council area,9.3,,
Falkirk,S12000014,Council area,9.7,,
Fife,S12000047,Council area,10.2,,
Glasgow City,S12000049,Council area,10.0,,
Highland,S12000017,Council area,11.2,,
Inverclyde,S12000018,Council area,12.5,,
Midlothian,S12000019,Council area,8.1,,
Moray,S12000020,Council area,10.7,,
Na h-Eileanan Siar,S12000013,Council area,13.7,,
North Ayrshire,S12000021,Council area,12.2,,
North Lanarkshire,S12000050,Council area,9.4,,
Orkney Islands,S12000023,Council area,11.7,,
Perth and Kinross,S12000048,Council area,10.6,,
Renfrewshire,S12000038,Council area,10.9,,
Scottish Borders,S12000026,Council area,11.7,,
Shetland Islands,S12000027,Council area,10.3,,
South Ayrshire,S12000028,Council area,11.9,,
South Lanarkshire,S12000029,Council area,9.9,,
Stirling,S12000030,Council area,9.3,,
West Dunbartonshire,S12000039,Council area,11.9,,
West Lothian,S12000040,Council area,8.4,,
,,,,,
,,,,,
