geo_id,name,Value (%)
W06000001,Isle of Anglesey,9.192825112
W06000002,Gwynedd,7.424071991
W06000003,Conwy,8.472553699
W06000004,Denbighshire,8.98021309
W06000005,Flintshire,9.701492537
W06000006,Wrexham,9.649122807
W06000008,Ceredigion,6.896551724
W06000009,Pembrokeshire,8.790072389
W06000010,Carmarthenshire,9.263657957
W06000011,Swansea,11.39931741
W06000012,Neath Port Talbot,11.49068323
W06000013,Bridgend,10.13597033
W06000014,Vale of Glamorgan,9.968186638
W06000015,Cardiff,11.95234435
W06000016,Rhondda Cynon Taf,10.11513158
W06000018,Caerphilly,11.0604333
W06000019,Blaenau Gwent,11.14982578
W06000020,Torfaen,11.77536232
W06000021,Monmouthshire,8.823529412
W06000022,Newport,12.86486486
W06000023,Powys,8.061749571
W06000024,Merthyr Tydfil,11.39705882
