STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,MEASURE,Measure,ACTIVITY,Economic activity,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,CONVERSION_TYPE,Conversion type,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,BASE_PER,Base period,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1990,,2.904833,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1991,,2.854025,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1992,,2.608936,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1993,,2.460617,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1994,,2.784111,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1995,,2.909368,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1996,,2.758683,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1997,,2.418163,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1998,,1.570193,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,1999,,2.044412,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2000,,2.621432,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2001,,2.142669,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2002,,1.972779,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2003,,1.670703,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2004,,1.510063,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2005,,1.408898,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2006,,1.408985,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2007,,1.469995,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2008,,1.275356,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2009,,1.116014,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2010,,1.370083,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,KSER_PCCONG,Contribution of capital services to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2011,,1.447824,,A,Normal value,0,Units,,,2,Two
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_GR(1.0),Productivity growth rates,I,KOR,Korea,A,Annual,HRSTO_PCCONG,Contribution of hours worked to GDP growth,_T,Total - all activities,PD,Percentage points,V,Current prices,GOY,"Contribution to growth rate, over 1 year",_Z,Not applicable,_Z,Not applicable,2012,,0.629405,,A,Normal value,0,Units,,,2,Two
